metadata_variable	type	baseline	useForPERMANOVA	useForLCA	useForNB
demo_date	date				
PID	factor		yes		
age_of_visit	numeric		yes		
Latino	factor				
DOB	date				
Assay_ID	factor				
biomarker_date	date				
visit_code	factor				
Sample_Type	factor				
Condition	factor				
IFNg_pgmL	numeric				no
IL_1b_pgmL	numeric				no
IL_6_pgmL	numeric				yes
IL_8_pgmL	numeric				yes
IL_8_pgmL_binned	factor	low			no
IL_10_pgmL	numeric				no
IL_12_p70__pgml	numeric				no
IL_18__pgml	numeric				yes
MCP_1__pgml	numeric				yes
MIP_1a__pg_mL_	numeric				no
CD163__ng_mL_	numeric				yes
CD27__ng_mL_	numeric				yes
IL_2Ra__ng_mL_	numeric				yes
IL_6Ra__ng_mL_	numeric				yes
Pentraxin_3__ng_mL_	numeric				yes
pg130__ng_mL_	numeric				yes
TNFRII__ng_mL_	numeric				yes
CXCL13__pgml	numeric				yes
IP_10__pgml	numeric				yes
TREM_1__pgml	numeric				yes
CD14__ugml	numeric				yes
SAA1__ugml	numeric				yes
BAFF__ngml	numeric				yes
FABP2__ngml	numeric				yes
LBP__ngml	numeric				yes
s100A8_s100A9__ugml	numeric				yes
hivtox_date	date				
viral_load	numeric				
drug_test	factor				
Methamphetamine	factor				
Opiates	factor				
Cocaine	factor				
Nitrites	factor				
Ecstasy	factor				
Marijuana	factor				
Amphetamines	factor				
viral_load_oldform	numeric				
log_viral_load	numeric				no
viral_load_binned	factor	[0,1e+04)	no		no
viral_load_binned2	factor	[0,1e+05)	no		yes
viral_load_timepoints		undetectable_in_both	no		no
state	factor				
wbc	numeric				
wbc1	factor				
wbc_normval	factor				
wbc_comment	character				
hematocrit	numeric				
hematocrit1	factor				
hematocrit_normval	factor				
hematocrit_comment	character				
platelets	numeric				
platelets1	factor				
platelets_normval	factor				
platelets_comment	character				
ab_neutrophils	numeric		yes		yes
ab_neutrophils1	factor	norm		yes	
ab_neutrophils_normval	factor				
ab_neutrophils_comment	character				
glucose	numeric				
glucose1	factor				
glucose_normval	factor				
glucose_comment	character				
bun	numeric				
bun1	factor				
bun_normval	factor				
bun_comment	character				
creatinine	numeric				
creatinine1	factor				
creatinine_normval	factor				
creatinine_comment	character				
sodium	numeric				
sodium1	factor				
sodium_normval	factor				
